Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	92.953	88.172	52.039	87.928	93.351	88.390	52.018	87.698	93.607	88.562	51.715	88.736	93.596	88.480	52.062	88.910
Duplication ratio	1.058	1.085	1.323	1.096	1.088	1.120	1.420	1.120	1.135	1.145	1.292	1.139	1.089	1.128	1.425	1.136
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	1970.18	2350.80	3495.09	2421.16	1977.87	2348.54	3509.70	2425.56	1969.39	2348.90	3501.27	2396.20	1966.63	2347.71	3515.84	2396.08
# indels per 100 kbp	54.22	61.65	88.09	68.76	54.64	62.56	88.97	68.38	55.84	63.99	88.96	68.26	54.97	63.36	89.00	69.55
Largest alignment	183233	206866	39659	183383	255309	255395	39833	183363	255656	255411	39887	183344	255391	255407	68097	183344
NA50	71947	33471	2874	33438	60423	35008	2973	42937	58073	46185	2224	51788	74751	45093	2723	43069
NGA50	71947	35008	3236	40038	74751	45071	3637	46317	74751	51885	2697	57400	74751	51885	3236	46339
NA75	27502	11072	-	16250	27683	14058	-	19061	32484	14058	-	22478	31745	14058	-	22037
NGA75	27502	20478	-	19035	30252	22141	-	21536	41616	26518	-	25894	38878	22530	-	27937
LA50	8	15	74	13	8	13	70	11	8	12	77	10	7	12	68	11
LGA50	8	13	70	12	7	11	66	10	7	10	73	9	7	10	66	10
LA75	19	38	-	31	19	34	-	27	19	31	-	24	17	32	-	26
LGA75	19	30	-	29	18	26	-	25	16	23	-	22	16	24	-	23
