All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1505595             1386000             1232764             1291399             1557512             1659553             1112764             1563813             1846313              1811835              1005722              1650389              1724877             1760278             956393              1617398           
# local misassemblies        61                  50                  46                  54                  62                  54                  43                  61                  63                   57                   32                   62                   65                  55                  35                  64                
# unaligned contigs          5 + 3 part          24 + 11 part        2 + 10 part         11 + 12 part        5 + 2 part          15 + 13 part        1 + 7 part          5 + 7 part          3 + 1 part           10 + 4 part          0 + 5 part           4 + 4 part           5 + 0 part          12 + 5 part         1 + 6 part          5 + 5 part        
Unaligned length             28507               197673              373358              120686              54401               163432              431761              96164               15177                136411               429882               58835                22862               153687              475965              64147             
Genome fraction (%)          81.265              81.439              51.763              79.815              81.869              81.830              51.429              80.020              81.639               81.943               51.049               80.580               82.062              81.902              51.490              80.619            
Duplication ratio            1.129               1.114               1.432               1.102               1.109               1.146               1.383               1.120               1.191                1.175                1.393                1.146                1.132               1.160               1.331               1.144             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2413.89             2338.17             3721.62             2306.40             2425.43             2348.90             3716.18             2275.95             2416.46              2347.81              3717.24              2272.98              2424.11             2343.51             3719.55             2274.07           
# indels per 100 kbp         64.03               63.95               87.65               60.19               65.09               65.19               88.51               59.72               65.22                64.85                87.59                60.19                65.49               64.64               87.82               60.47             
Largest alignment            122175              111163              67998               111001              122175              111239              67998               128690              122175               111187               67998                127705               122175              111187              67998               128690            
NA50                         35062               25941               6068                28264               39547               28875               6063                29558               37549                29563                5740                 36363                41426               29469               6063                36363             
NGA50                        31854               26503               4602                27440               35879               28875               3304                27762               35879                30722                2554                 30733                37549               29563               3303                31181             
NA75                         13678               7870                -                   13841               13877               8825                -                   13841               10718                8825                 -                    13841                13556               8825                -                   13841             
NGA75                        9714                7910                -                   8628                9732                9729                -                   9443                10432                9829                 -                    9853                 10042               9859                -                   9731              
LA50                         15                  21                  53                  19                  13                  19                  53                  17                  15                   18                   56                   16                   13                  19                  55                  16                
LGA50                        17                  20                  66                  21                  15                  19                  68                  19                  16                   17                   73                   18                   15                  18                  70                  18                
LA75                         35                  51                  -                   41                  31                  49                  -                   39                  37                   48                   -                    37                   31                  48                  -                   37                
LGA75                        44                  50                  -                   49                  40                  46                  -                   46                  40                   43                   -                    43                   38                  44                  -                   43                
