All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    spades.M05964  spades.M07572  spades.M10540  spades.M16180  spades.M26026  spades.M26032  spades.M27986  spades.M27987  spades.M28356  spades.M28405  spades.M28687  spades.M28702  spades.M28745  spades.M28770  spades.M28801  spades.M28853  spades.M28888  spades.M29179  spades.M29197  spades.M29202  spades.M29227  spades.M29307  spades.M29323  spades.M29331  spades.M29400  spades.M29658  spades.M29684  spades.M29695  spades.M29697  spades.M36557  spades.M36564  spades.M36580  spades.M36582  spades.M36605  spades.M36606  spades.M37982  velvet.M05964  velvet.M07572  velvet.M10540  velvet.M16180  velvet.M26026  velvet.M26032  velvet.M27986  velvet.M27987  velvet.M28356  velvet.M28405  velvet.M28687  velvet.M28702  velvet.M28745  velvet.M28770  velvet.M28801  velvet.M28853  velvet.M28888  velvet.M29179  velvet.M29197  velvet.M29202  velvet.M29227  velvet.M29307  velvet.M29323  velvet.M29331  velvet.M29400  velvet.M29658  velvet.M29684  velvet.M29695  velvet.M29697  velvet.M36557  velvet.M36564  velvet.M36580  velvet.M36582  velvet.M36605  velvet.M36606  velvet.M37982
Total length (>= 25000 bp)  1794072        1825130        1792563        1828190        1735927        1868695        1779616        1752982        1871445        1806736        1782054        1828785        1749469        1757703        1893580        1839197        1876222        1720246        1597383        1715718        1618695        1686497        1903297        1789569        1830776        1816471        1790516        1784419        1845335        1723990        1723277        1780411        1756175        1888755        1755893        1838744        1813247        1844908        1784345        1841557        1766017        1876964        1789659        1790114        1868747        1807172        1801945        1820394        1735444        1779347        1912716        1848048        1882630        1707832        1770809        1873136        1819236        1705015        1902432        1795316        1875042        1807350        1802192        1833727        1847686        1713054        1724301        1820646        1762708        1889488        1759114        1834429      
Total length (>= 50000 bp)  1724891        1742141        1700240        1774929        1667958        1840709        1588356        1588344        1826836        1707295        1754233        1751136        1689987        1689360        1858929        1689781        1766929        1692406        1499556        1584892        1590611        1453812        1876035        1690160        1802860        1749004        1762695        1756341        1845335        1696150        1591970        1752034        1728335        1795233        1727907        1804138        1699035        1757715        1691654        1813030        1673046        1849025        1662182        1662707        1824020        1740511        1773958        1785038        1707558        1726084        1877985        1659852        1738416        1679406        1710504        1788700        1791106        1492980        1875099        1741805        1821877        1740689        1774185        1779929        1822116        1685115        1630597        1792516        1734769        1795925        1705428        1799705      
# contigs                   282            311            396            509            88             33             50             68             74             67             75             72             47             69             39             51             54             57             398            483            566            74             16             50             38             32             37             73             46             72             155            627            305            78             779            33             22             50             14             19             20             18             28             29             18             26             19             26             20             26             20             36             37             26             23             21             22             34             13             22             23             22             19             20             18             22             16             21             22             28             21             20           
Largest contig              544736         305777         1150585        401223         526627         528855         605950         605950         991456         543219         544261         397053         558278         526215         595373         431429         264883         526684         244369         270096         368059         392818         1066307        526431         529588         543253         544210         538090         526399         526407         1062004        549016         526459         281126         526368         595448         544972         306007         1142102        536410         526861         572677         605817         361796         1095778        543243         544492         544634         558348         526429         594914         400268         266004         526796         526174         544142         549101         457525         1066025        526709         597758         543483         544473         530623         526500         526512         1099989        549192         528277         291804         526473         595183       
Total length                1995254        2127397        2086826        2312543        1821374        1893144        1839285        1849883        1938412        1889723        1852471        1902571        1804491        1842709        1944180        1932886        1978049        1800665        2276455        2390035        2410300        1859524        1912517        1837437        1902624        1868123        1830409        1871309        1877014        1806488        1861543        2270439        1970597        1951646        3887713        1885221        1828320        1968722        1811125        1854369        1779082        1885308        1826645        1827637        1908269        1864661        1820185        1880633        1792191        1820586        1934250        1926570        1972550        1779397        1811645        1902243        1838575        1840667        1908573        1823046        1898628        1860695        1819863        1842424        1860102        1777275        1778145        1838710        1780180        1924028        1777414        1877799      
GC (%)                      38.97          39.40          37.84          37.97          37.91          38.09          37.93          37.96          37.94          38.04          38.10          38.03          37.89          38.07          37.91          38.13          38.25          37.98          37.88          38.03          37.85          37.92          38.06          38.02          37.97          38.04          38.05          38.19          38.10          37.95          38.45          40.66          39.30          38.00          45.64          37.94          37.88          38.28          37.91          38.04          37.92          38.05          37.93          37.93          37.96          38.02          37.93          38.03          37.89          38.01          37.92          38.12          38.26          37.95          38.01          38.03          37.91          37.94          38.06          38.01          37.97          38.02          37.93          37.96          38.09          37.93          37.85          37.91          37.94          38.01          37.94          37.88        
N50                         179983         125428         1150585        165472         343894         522565         361753         361741         991456         233244         366605         135038         355451         209505         283359         151450         150882         403891         125610         99172          117379         266488         1066307        141004         211015         233236         380836         210681         456784         409658         1062004        357870         344619         159405         10967          283237         380295         197749         1142102        409267         374060         485637         361808         282500         1095778        233419         427880         135107         383353         200973         453348         151822         150946         403837         402382         433648         382800         266131         1066025        283555         211252         233354         380785         211238         457336         410029         1099989        382987         405562         207499         404900         453295       
N75                         115876         62715          186707         62417          141071         141004         111366         111366         129979         123938         139233         111366         110758         140807         152606         68420          89414          142603         11536          16704          5355           59391          401648         120826         153620         123903         139233         141063         140926         141071         188686         61651          119992         105021         3872           142084         180612         79667          311402         135067         141189         362323         111166         111464         385988         123701         139537         116396         137324         111599         198240         57408          80921          142704         140925         139806         194027         110989         198830         141189         196945         123792         139557         140930         141025         141189         290429         193886         141189         105269         141189         143059       
L50                         3              6              1              4              3              2              2              2              1              3              3              5              2              3              3              4              6              2              7              8              6              3              1              3              3              3              2              3              2              2              1              3              3              5              21             3              2              4              1              2              2              2              2              3              1              3              2              4              2              3              2              4              6              2              2              2              2              3              1              3              3              3              2              3              2              2              1              2              2              4              2              2            
L75                         7              11             3              9              4              4              5              5              3              6              4              9              6              6              5              8              10             4              21             21             28             8              2              6              6              6              4              6              4              4              3              7              5              9              185            5              4              8              2              4              4              3              5              6              2              6              4              8              4              6              4              10             10             4              4              5              4              6              3              5              5              6              5              6              4              4              2              4              4              8              4              4            
# N's per 100 kbp           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           74.77          101.89         26.72          9.87           35.41          57.13          51.62          51.43          32.02          57.01          90.32          88.48          73.76          31.31          54.65          15.42          62.71          24.73          0.55           30.91          38.24          45.69          34.48          65.99          104.44         20.37          58.69          39.13          68.22          63.19          131.60         71.19          52.19          82.43          23.07          64.81        
