Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	86.007	88.255	56.735	86.794	86.315	88.490	56.578	87.436	86.544	88.547	55.910	88.311	86.452	88.573	56.249	88.404
Duplication ratio	1.119	1.091	1.454	1.095	1.160	1.126	1.480	1.108	1.218	1.150	1.745	1.131	1.164	1.133	1.659	1.128
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	2503.11	2303.19	3746.77	2227.39	2499.48	2302.83	3747.89	2220.10	2492.05	2302.07	3736.68	2215.48	2499.43	2296.65	3745.16	2216.43
# indels per 100 kbp	75.09	73.86	101.32	72.59	75.46	74.78	102.08	72.93	76.08	74.30	100.86	73.75	76.03	74.52	100.64	73.55
Largest alignment	146760	110672	67112	111261	146760	110672	74272	125826	146760	112912	74272	125826	146760	110672	74272	125826
NA50	35835	29964	6591	35706	38389	36359	6605	36363	38389	38410	6805	41004	38765	36413	6988	38749
NGA50	35835	35717	6605	36395	38389	37887	6605	38749	40061	40982	6805	46355	40061	39695	6988	41004
NA75	12742	10251	-	14779	12889	10454	-	16870	12582	10254	-	18594	12893	10254	-	18594
NGA75	12857	17504	-	15584	13678	18944	-	17538	15134	22421	-	21672	13843	21762	-	21672
LA50	15	19	51	14	14	18	47	13	15	16	43	12	14	17	43	13
LGA50	15	16	50	13	14	15	47	12	13	13	43	11	13	14	43	12
LA75	36	44	-	33	35	41	-	30	36	39	-	28	33	39	-	29
LGA75	35	35	-	31	33	31	-	29	30	28	-	26	31	29	-	27
