All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1453233             1187855             1077196             1336486             1596414             1644834             1116152             1454405             1757633              1739273              785406               1723743              1638314             1785735             1257756             1678907           
# local misassemblies        52                  59                  38                  54                  53                  60                  39                  63                  57                   63                   32                   65                   56                  61                  42                  66                
# unaligned contigs          2 + 6 part          20 + 15 part        3 + 10 part         3 + 12 part         2 + 7 part          13 + 16 part        2 + 7 part          2 + 5 part          2 + 3 part           6 + 13 part          2 + 4 part           3 + 4 part           2 + 7 part          7 + 12 part         3 + 5 part          4 + 5 part        
Unaligned length             75588               193473              406276              56216               34428               174480              419050              37723               21840                181435               566779               33299                35256               151189              310903              39454             
Genome fraction (%)          80.557              81.217              53.465              82.456              80.434              81.375              52.537              83.288              82.401               81.769               52.408               84.112               82.305              81.689              52.481              84.146            
Duplication ratio            1.116               1.126               1.364               1.113               1.149               1.153               1.374               1.118               1.183                1.157                1.233                1.120                1.128               1.171               1.473               1.117             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2471.35             2335.19             3461.11             2458.47             2476.16             2355.42             3453.82             2482.87             2507.24              2290.12              3449.92              2486.24              2513.06             2304.78             3455.43             2487.58           
# indels per 100 kbp         64.66               56.89               78.53               64.65               67.16               62.08               79.05               69.43               71.29                60.79                78.76                71.59                70.69               60.85               78.55               71.98             
Largest alignment            132027              123383              45472               124307              178313              157773              51034               138470              178366               157773               51084                156231               178366              157773              51055               156231            
NA50                         38702               33411               6729                33381               36942               34006               6313                35073               42872                34948                6104                 37510                58566               34879               6313                36801             
NGA50                        34192               34042               5581                32065               34883               34868               4392                34774               42872                36850                3633                 36801                40672               34948               4147                35994             
NA75                         14907               8540                -                   15136               16550               13299               -                   19207               18748                13299                -                    20222                18748               13649               -                   20023             
NGA75                        10547               10113               -                   11147               13522               13685               -                   15162               16455                14907                -                    16333                14399               14907               -                   16305             
LA50                         12                  18                  54                  16                  11                  16                  54                  14                  11                   14                   57                   13                   10                  15                  52                  13                
LGA50                        14                  17                  64                  18                  13                  15                  65                  15                  11                   13                   70                   14                   11                  14                  64                  14                
LA75                         31                  43                  -                   36                  29                  39                  -                   31                  28                   37                   -                    28                   26                  37                  -                   29                
LGA75                        37                  41                  -                   42                  35                  37                  -                   36                  30                   33                   -                    32                   31                  34                  -                   32                
