Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	84.673	88.767	55.955	86.437	84.552	89.189	56.447	86.695	85.001	89.557	55.253	87.364	84.768	89.499	55.181	87.544
Duplication ratio	1.108	1.062	1.446	1.085	1.148	1.097	1.475	1.108	1.201	1.110	1.528	1.130	1.150	1.096	1.480	1.130
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	2520.68	2437.12	3657.57	2405.17	2531.49	2421.39	3681.53	2403.89	2523.79	2379.96	3662.04	2397.36	2495.54	2395.70	3663.66	2397.81
# indels per 100 kbp	88.93	90.79	117.14	85.21	89.49	92.56	117.15	85.81	90.77	92.18	115.56	86.25	89.64	92.18	115.81	86.01
Largest alignment	167217	128175	66377	124715	167250	138984	66377	124728	178056	138984	66377	135526	178056	138984	66377	135526
NA50	34675	34020	6729	42195	35066	37329	8250	49023	35066	45438	7674	49023	35542	43504	7204	49023
NGA50	34675	37296	6591	42195	34998	37656	7204	48450	35066	48622	6374	49023	35066	48622	6374	49023
NA75	14848	11694	-	16250	13879	14791	-	16584	15247	14749	-	17458	15307	14791	-	17458
NGA75	13739	15948	-	15940	13582	20552	-	16316	16509	26496	-	17458	15247	22639	-	17458
LA50	16	16	51	14	15	15	47	12	15	13	48	12	14	14	47	12
LGA50	16	14	54	14	16	14	50	13	15	12	52	12	15	12	51	12
LA75	36	38	-	32	35	35	-	30	36	33	-	27	33	33	-	28
LGA75	38	33	-	34	37	29	-	31	33	26	-	27	34	27	-	28
