All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1272067             1174536             836399              928465              1314261             1204136             1063349             1181932             1388547              1403162              1174812              1032048              1372362             1401655             1061870             1129672           
# local misassemblies        33                  37                  4                   24                  32                  39                  4                   29                  38                   41                   6                    29                   36                  42                  7                   39                
# unaligned contigs          11 + 8 part         32 + 18 part        0 + 0 part          20 + 20 part        9 + 6 part          26 + 15 part        0 + 0 part          9 + 13 part         6 + 8 part           18 + 9 part          0 + 0 part           5 + 9 part           8 + 4 part          18 + 11 part        0 + 0 part          6 + 11 part       
Unaligned length             370233              537075              0                   545986              335640              555785              0                   425094              344900               467945               0                    506615               314541              458575              0                   447395            
Genome fraction (%)          58.431              60.123              98.333              53.554              58.015              60.017              98.395              55.055              59.294               60.232               98.032               54.384               58.591              60.280              97.990              55.186            
Duplication ratio            1.361               1.306               1.009               1.326               1.410               1.316               1.008               1.416               1.451                1.410                1.011                1.369                1.425               1.410               1.008               1.409             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     3664.25             3592.66             32.16               3663.39             3595.85             3580.88             32.14               3702.72             3606.58              3576.19              33.80                3673.94              3603.04             3574.20             32.88               3690.15           
# indels per 100 kbp         88.88               85.13               2.74                90.24               86.73               84.92               3.56                91.30               87.13                85.78                3.52                 92.72                87.63               85.44               3.68                92.06             
Largest alignment            54188               57853               228094              48478               54188               57853               228096              48478               54188                57853                228096               48478                54188               57853               311121              48478             
NA50                         7557                6605                123728              4537                7353                6315                160610              5463                7557                 6315                 170342               4166                 7353                6315                167101              5567              
NGA50                        7353                8628                123728              4537                7176                8666                160610              5792                8252                 9018                 170342               4678                 7557                8683                167101              6107              
NA75                         -                   -                   52654               -                   -                   -                   83976               -                   -                    -                    109825               -                    -                   -                   109875              -                 
NGA75                        -                   -                   52654               -                   -                   -                   58318               -                   -                    -                    109825               -                    -                   -                   109875              -                 
LA50                         50                  55                  6                   64                  51                  55                  5                   59                  53                   53                   5                    64                   51                  53                  5                   60                
LGA50                        51                  46                  6                   64                  52                  44                  5                   57                  48                   41                   5                    60                   50                  41                  5                   57                
LA75                         -                   -                   11                  -                   -                   -                   9                   -                   -                    -                    8                    -                    -                   -                   8                   -                 
LGA75                        -                   -                   11                  -                   -                   -                   10                  -                   -                    -                    8                    -                    -                   -                   8                   -                 
