All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1201381             798302              1149337             649012              1420303             946392              1273682             1055177             1630554              1150083              1220192              1098674              1503531             1086367             1219662             1100330           
# local misassemblies        55                  35                  28                  28                  61                  43                  32                  30                  67                   44                   32                   32                   60                  43                  34                  32                
# unaligned contigs          4 + 4 part          21 + 14 part        3 + 10 part         4 + 8 part          2 + 3 part          13 + 12 part        2 + 5 part          5 + 2 part          2 + 1 part           8 + 10 part          2 + 2 part           2 + 2 part           2 + 3 part          9 + 11 part         3 + 4 part          2 + 2 part        
Unaligned length             67212               188850              421755              62103               13921               168961              364665              53995               7655                 155640               331180               19567                14699               172094              361917              19502             
Genome fraction (%)          85.168              91.821              57.748              94.155              85.786              92.994              58.268              94.656              86.730               93.350               57.816               95.393               86.785              93.188              57.895              95.102            
Duplication ratio            1.131               1.065               1.332               1.037               1.162               1.079               1.372               1.041               1.208                1.096                1.413                1.061                1.154               1.083               1.377               1.066             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2538.69             1757.03             3571.75             1500.80             2545.17             1787.51             3577.81             1479.92             2552.94              1780.17              3592.36              1454.75              2555.60             1790.19             3511.22             1455.89           
# indels per 100 kbp         64.93               51.32               91.26               39.46               66.99               54.46               91.56               39.83               68.38                53.61                93.31                39.86                68.71               53.65               89.63               39.75             
Largest alignment            101207              138099              68317               204039              101952              190168              68317               204054              109376               221974               68317                235862               109376              221946              69003               235862            
NA50                         39556               52150               8526                57293               39589               63597               8671                70436               46339                109006               8632                 116180               46311               90855               8671                92843             
NGA50                        39556               56786               8236                57293               39589               83739               8671                70436               47325                114001               8632                 116180               46311               91176               8632                92843             
NA75                         18024               21960               -                   27779               18403               25583               -                   31760               19190                28434                -                    51639                19190               28353               -                   40836             
NGA75                        18024               27271               -                   27779               18403               37081               -                   32497               21339                44108                -                    51639                21339               39078               -                   46707             
LA50                         15                  12                  45                  9                   14                  9                   43                  8                   13                   7                    45                   7                    12                  8                   42                  7                 
LGA50                        15                  11                  46                  9                   14                  8                   43                  8                   12                   6                    45                   7                    12                  7                   43                  7                 
LA75                         30                  28                  -                   22                  30                  21                  -                   18                  29                   17                   -                    13                   27                  18                  -                   15                
LGA75                        30                  23                  -                   22                  30                  16                  -                   17                  26                   13                   -                    13                   26                  14                  -                   14                
