Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	87.807	86.779	59.899	84.917	87.909	87.240	61.856	84.740	89.454	87.527	60.590	85.898	89.414	87.313	60.383	85.681
Duplication ratio	1.117	1.121	1.459	1.120	1.150	1.153	1.406	1.143	1.191	1.177	1.638	1.134	1.137	1.164	1.596	1.122
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	2566.67	2672.84	3636.33	2513.32	2561.58	2669.08	3658.95	2518.16	2587.98	2660.35	3637.93	2518.73	2589.13	2663.56	3639.06	2508.68
# indels per 100 kbp	66.25	64.37	93.07	66.56	66.68	67.51	97.80	64.87	71.02	67.85	95.19	70.17	70.80	67.39	93.23	70.22
Largest alignment	148362	199130	45869	199563	133923	226547	54089	199576	148362	226563	54143	226968	148362	226559	82059	226968
NA50	30512	27653	6988	29514	29042	28091	9960	37620	49030	28434	10507	38475	48722	28996	10507	37642
NGA50	32756	30826	7390	37459	32789	35479	10424	37620	51623	38532	10744	40791	48722	37690	10744	38438
NA75	13095	6084	-	8698	12938	8004	-	12702	16720	8004	-	13920	15692	8004	-	13447
NGA75	13678	14058	-	10366	14257	15896	-	13920	19153	16241	-	14782	17216	16241	-	14646
LA50	12	17	49	15	12	16	42	14	11	15	40	13	10	15	39	14
LGA50	11	14	46	14	11	13	41	14	10	11	39	12	10	12	38	13
LA75	34	51	-	42	35	45	-	37	30	44	-	34	31	45	-	36
LGA75	32	35	-	38	32	32	-	34	25	29	-	30	28	30	-	31
