All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1424804             389808              1233673             1218300             1492538             1024083             1340551             1287506             1682881              1012221              1231722              1356149              1523263             1033701             1632283             1361181           
# local misassemblies        59                  30                  49                  30                  62                  34                  53                  37                  67                   35                   48                   34                   63                  35                  55                  35                
# unaligned contigs          5 + 5 part          5 + 16 part         3 + 9 part          6 + 8 part          2 + 6 part          3 + 9 part          2 + 6 part          5 + 3 part          1 + 6 part           1 + 8 part           2 + 3 part           2 + 4 part           3 + 6 part          0 + 9 part          3 + 3 part          2 + 4 part        
Unaligned length             94609               99306               311369              79949               41974               79874               274655              57596               29835                54010                306596               82776                43166               77030               110121              82709             
Genome fraction (%)          83.927              94.328              60.241              87.473              84.067              94.783              60.186              87.961              84.227               95.023               59.944               88.527               84.319              94.928              59.729              88.736            
Duplication ratio            1.106               1.065               1.346               1.081               1.142               1.086               1.379               1.093               1.203                1.110                1.355                1.080                1.144               1.093               1.529               1.080             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2365.64             1191.32             3558.70             1844.70             2361.95             1221.48             3559.69             1848.20             2339.73              1211.87              3560.12              1835.12              2361.18             1223.68             3558.07             1833.08           
# indels per 100 kbp         61.61               32.07               82.84               49.66               63.08               32.47               82.92               50.23               63.28                32.17                85.81                50.45                63.52               32.54               82.66               50.03             
Largest alignment            145100              216292              48752               191527              202907              288042              48752               191540              202935               288058               48752                223348               202963              288054              61112               223348            
NA50                         38866               71113               9570                41410               38590               82838               9582                47105               38866                93346                9404                 92095                41226               92226               10803               57860             
NGA50                        38866               79041               8646                40366               38494               82838               8646                47105               41226                93346                8646                 92095                41226               92226               9404                57860             
NA75                         16510               22445               -                   18834               16563               25072               -                   21108               16883                28434                -                    22478                16852               29474               -                   22478             
NGA75                        14342               27653               -                   18648               14101               37585               -                   21108               20262                45040                -                    22478                16065               39946               -                   22478             
LA50                         14                  10                  42                  11                  13                  8                   39                  10                  13                   7                    40                   8                    12                  7                   37                  9                 
LGA50                        14                  9                   45                  12                  14                  8                   42                  10                  12                   7                    43                   8                    12                  7                   40                  9                 
LA75                         31                  25                  -                   27                  31                  19                  -                   24                  30                   17                   -                    19                   28                  17                  -                   22                
LGA75                        33                  21                  -                   28                  33                  16                  -                   24                  27                   14                   -                    19                   29                  14                  -                   22                
