All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1415328             701097              1270307             836716              1556768             1081927             1359452             1093160             1685809              1074434              1345732              1238267              1551228             1156852             1293278             1161684           
# local misassemblies        59                  22                  46                  33                  62                  28                  52                  42                  68                   32                   51                   38                   62                  34                  47                  38                
# unaligned contigs          2 + 6 part          18 + 14 part        3 + 9 part          6 + 10 part         2 + 5 part          13 + 9 part         2 + 5 part          2 + 5 part          2 + 4 part           7 + 9 part           2 + 2 part           2 + 3 part           2 + 5 part          8 + 8 part          3 + 4 part          2 + 3 part        
Unaligned length             49700               185553              344161              63475               42492               160132              301488              52376               33061                151974               257215               68550                43340               161677              303118              68466             
Genome fraction (%)          84.617              89.455              56.103              87.430              84.742              90.448              56.153              88.066              85.164               90.241               55.795               88.711               85.064              90.507              55.861              88.845            
Duplication ratio            1.109               1.057               1.395               1.076               1.117               1.075               1.432               1.079               1.171                1.095                1.481                1.071                1.118               1.082               1.431               1.072             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2140.76             1125.53             3527.65             1729.67             2128.60             1142.87             3525.00             1734.26             2125.91              1111.39              3521.58              1674.32              2126.58             1120.35             3517.97             1722.77           
# indels per 100 kbp         55.93               34.39               85.47               46.30               57.20               37.02               86.42               45.85               58.20                36.29                87.53                46.04                58.15               36.65               86.40               46.62             
Largest alignment            128158              193020              64661               182060              128191              224833              64661               192070              159911               224833               64661                223918               159911              224833              64661               223918            
NA50                         38866               49282               7738                42132               38866               83739               8250                58515               45982                93346                8250                 115142               45954               92226               8526                72903             
NGA50                        38655               70913               6591                41412               38655               83739               6983                58515               45982                93346                6780                 115142               45464               92226               6605                72903             
NA75                         18024               20426               -                   19603               16833               22762               -                   22564               20262                28434                -                    24577                19190               27962               -                   23981             
NGA75                        14094               26462               -                   17976               13937               28025               -                   19603               23711                39767                -                    22363                16064               38172               -                   22363             
LA50                         14                  10                  48                  10                  13                  8                   45                  9                   12                   7                    45                   7                    11                  7                   44                  8                 
LGA50                        15                  9                   53                  11                  14                  8                   50                  9                   12                   7                    50                   7                    12                  7                   50                  8                 
LA75                         30                  26                  -                   26                  29                  21                  -                   21                  28                   18                   -                    17                   26                  19                  -                   20                
LGA75                        33                  23                  -                   28                  32                  18                  -                   23                  27                   15                   -                    18                   28                  16                  -                   21                
