All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1554990             1167869             1184363             1475970             1588418             1490128             1418134             1561689             1702419              1714416              1427271              1662721              1596948             1699716             1363474             1633244           
# local misassemblies        56                  53                  20                  46                  55                  58                  26                  54                  58                   58                   27                   54                   56                  58                  25                  54                
# unaligned contigs          3 + 2 part          26 + 13 part        1 + 9 part          11 + 7 part         4 + 0 part          21 + 10 part        0 + 5 part          5 + 5 part          3 + 0 part           14 + 7 part          0 + 2 part           3 + 4 part           4 + 0 part          15 + 7 part         0 + 5 part          3 + 4 part        
Unaligned length             26804               221266              367930              104113              20272               212035              270955              91313               12276                196991               219917               58797                20445               214923              263733              58703             
Genome fraction (%)          84.488              83.908              58.329              83.152              84.399              84.298              58.100              84.316              85.047               84.481               57.512               84.809               84.915              84.443              57.405              84.754            
Duplication ratio            1.114               1.094               1.308               1.095               1.124               1.111               1.398               1.093               1.174                1.132                1.457                1.116                1.124               1.116               1.415               1.119             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2554.20             2347.06             3653.66             2421.08             2553.14             2350.87             3660.27             2444.02             2544.53              2348.41              3645.17              2433.78              2550.37             2338.98             3647.64             2439.38           
# indels per 100 kbp         61.80               59.33               89.97               61.93               63.59               61.33               87.20               65.74               63.71                61.69                89.35                66.21                63.57               61.41               87.99               66.13             
Largest alignment            196166              133209              58344               132987              196199              139314              58344               133083              207278               139314               58344                139056               207278              139314              58344               139056            
NA50                         36108               37328               8526                37402               38494               38285               9573                40161               38494                39499                8526                 45616                39404               38921               8621                40990             
NGA50                        31783               38107               7136                34936               36104               38921               7066                39341               38494                40864                6617                 41161                38494               38949               6805                40990             
NA75                         13678               10969               -                   14202               16539               14555               -                   16283               16539                14174                -                    16333                16539               13895               -                   16316             
NGA75                        11445               12594               -                   10593               13006               17420               -                   14202               16539                17420                -                    15743                14299               16984               -                   14867             
LA50                         12                  16                  47                  14                  12                  15                  44                  12                  12                   14                   45                   11                   11                  15                  43                  12                
LGA50                        14                  15                  53                  15                  13                  14                  50                  13                  12                   13                   51                   12                   12                  14                  50                  12                
LA75                         32                  40                  -                   34                  30                  35                  -                   30                  31                   34                   -                    28                   29                  35                  -                   29                
LGA75                        37                  36                  -                   38                  34                  31                  -                   33                  31                   28                   -                    30                   32                  30                  -                   31                
