All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
Misassembled contigs length  1590507             1522404             686957              1505152             1647728             1702430             916348              1758381             1820017              1786859              473373               1803314              1708197             1723198             1098152             1770215           
# local misassemblies        52                  64                  19                  61                  54                  75                  24                  72                  56                   78                   10                   75                   54                  76                  23                  76                
# unaligned contigs          5 + 3 part          11 + 19 part        3 + 15 part         7 + 13 part         5 + 3 part          7 + 16 part         1 + 10 part         4 + 5 part          3 + 1 part           7 + 11 part          0 + 9 part           3 + 2 part           5 + 2 part          6 + 12 part         1 + 7 part          3 + 5 part        
Unaligned length             118814              165517              723881              91633               75475               145859              588005              46195               31813                151934               783930               22938                56816               159130              461391              46266             
Genome fraction (%)          74.762              79.241              41.896              77.314              74.861              79.341              42.811              77.390              75.488               79.619               42.811               78.934               74.982              79.538              44.392              78.676            
Duplication ratio            1.163               1.163               1.344               1.155               1.196               1.191               1.474               1.188               1.274                1.197                1.241                1.190                1.214               1.188               1.557               1.181             
# N's per 100 kbp            8.29                8.32                0.05                1.45                1.19                0.49                0.00                0.80                0.00                 0.00                 0.00                 0.00                 0.00                0.00                0.05                0.05              
# mismatches per 100 kbp     2694.70             2615.17             3764.06             2515.24             2705.42             2589.79             3785.06             2485.75             2716.14              2553.59              3793.20              2508.40              2705.90             2549.55             3833.44             2498.45           
# indels per 100 kbp         72.00               70.60               96.28               66.18               72.04               73.43               95.04               63.90               75.45                73.56                95.39                67.11                74.34               72.87               96.31               65.80             
Largest alignment            89978               80803               38880               74294               75077               121607              38880               74294               89989                121623               38880                74294                89989               121619              52175               74294             
NA50                         26767               23067               -                   26504               26781               23216               -                   29647               27715                26260                -                    30109                27659               24047               -                   30802             
NGA50                        23981               23067               -                   25579               23268               23325               -                   27759               26878                26550                -                    29367                24858               25578               -                   29647             
NA75                         7952                4514                -                   9194                7985                3681                -                   9654                8003                 3579                 -                    10240                8003                3638                -                   10205             
NGA75                        -                   4971                -                   3623                1130                5330                -                   5330                7460                 6151                 -                    7060                 1908                6151                -                   6939              
LA50                         22                  25                  -                   22                  21                  24                  -                   20                  21                   21                   -                    20                   20                  22                  -                   20                
LGA50                        25                  25                  -                   24                  24                  23                  -                   22                  22                   20                   -                    22                   23                  21                  -                   21                
LA75                         53                  67                  -                   48                  53                  65                  -                   45                  53                   63                   -                    42                   51                  63                  -                   43                
LGA75                        -                   65                  -                   62                  77                  59                  -                   57                  57                   53                   -                    50                   71                  55                  -                   52                
