Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	92.843	90.387	61.026	87.611	93.238	90.600	61.238	87.534	94.080	90.677	60.841	88.380	93.992	90.584	60.766	88.190
Duplication ratio	1.044	1.077	1.429	1.075	1.070	1.101	1.437	1.101	1.111	1.126	1.628	1.125	1.066	1.111	1.599	1.126
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	1450.18	2452.55	3606.96	2478.45	1442.87	2444.50	3607.39	2453.74	1450.39	2441.65	3613.85	2450.28	1454.28	2438.84	3615.37	2456.49
# indels per 100 kbp	42.23	60.58	86.79	68.06	43.10	61.99	87.11	68.92	44.96	63.43	86.97	71.69	44.31	61.82	86.98	71.79
Largest alignment	183610	118530	54754	118493	257760	131858	54754	151369	258107	133385	54754	150384	257830	133385	82226	151369
NA50	73979	34975	9098	40791	79514	35008	9573	44375	80740	38650	10088	47380	80712	37745	9721	46341
NGA50	73979	36425	9098	40791	79514	37667	9098	44375	80740	41844	9573	54354	80712	41844	9573	46341
NA75	34239	18041	-	18436	34272	18236	-	19057	37257	19189	-	23734	40740	19189	-	22478
NGA75	34239	21568	-	19035	34272	23073	-	19207	41793	26463	-	27665	40740	25362	-	26745
LA50	8	17	47	14	7	16	44	12	7	14	42	12	7	14	42	12
LGA50	8	15	47	14	7	14	45	12	7	12	43	11	7	12	43	12
LA75	18	37	-	31	16	36	-	28	16	32	-	26	15	32	-	27
LGA75	18	31	-	30	16	29	-	27	14	25	-	24	15	26	-	25
