Assembly	k44_M05964-contigs	k44_M07572-contigs	k44_M10540-contigs	k44_M16180-contigs	k77_M05964-contigs	k77_M07572-contigs	k77_M10540-contigs	k77_M16180-contigs	k127_M05964-contigs	k127_M07572-contigs	k127_M10540-contigs	k127_M16180-contigs	k99_M05964-contigs	k99_M07572-contigs	k99_M10540-contigs	k99_M16180-contigs
Genome fraction (%)	74.127	78.029	38.852	78.169	73.957	79.082	40.829	77.889	75.899	79.598	38.687	79.388	75.835	79.663	38.531	79.149
Duplication ratio	1.144	1.147	1.276	1.134	1.182	1.179	1.351	1.161	1.228	1.177	1.394	1.171	1.173	1.160	1.340	1.173
# N's per 100 kbp	8.29	8.32	0.05	1.45	1.19	0.49	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05
# mismatches per 100 kbp	2718.63	2565.36	3844.07	2575.16	2721.88	2577.83	3893.65	2580.96	2758.59	2583.07	3860.24	2598.40	2758.64	2579.78	3858.83	2599.62
# indels per 100 kbp	77.37	75.09	95.54	74.51	75.18	78.13	97.14	75.29	81.86	79.12	96.21	77.64	81.73	78.81	95.17	76.86
Largest alignment	93287	87697	37672	74170	102047	120798	38557	117121	102051	120766	37672	116136	102051	120766	37672	117121
NA50	24055	20336	-	25825	24055	23216	-	26504	24055	27382	-	30329	27604	24391	-	27418
NGA50	19300	20336	-	22207	20323	23216	-	23693	21161	27484	-	27418	23282	24391	-	25880
NA75	7631	5042	-	10142	7941	5413	-	10524	8046	4825	-	11356	8485	5413	-	11919
NGA75	-	4872	-	5815	-	6259	-	6041	6642	7097	-	7628	2240	7097	-	7628
LA50	21	26	-	22	20	23	-	20	21	21	-	18	19	21	-	19
LGA50	25	26	-	25	24	23	-	23	22	20	-	20	22	21	-	22
LA75	54	67	-	50	51	61	-	47	52	57	-	44	47	57	-	45
LGA75	-	68	-	63	-	59	-	59	58	53	-	53	67	54	-	54
